Pais,Operacion,Fuente,Anio,Mujeres,Hombres,Adultos,Jovenes,Variacion
Afghanistan,OK,,2018,0.2981,0.5548,0.4302,0.6542,18.43
Albania,OK,,2018,0.9776,0.9851,0.9814,0.9933,0.1
Algeria,OK,,2018,0.7532,0.8742,0.8141,0.9743,3.66
Andorra,IGNORAR,,2016,1,1,1,1,0
Angola,OK,,2014,0.5341,0.7997,0.6603,0.7743,5.24
Antigua and Barbuda,IGNORAR,,2015,0.9942,0.984,0.9895,0.9895,0
Argentina,OK,,2018,0.9906,0.9894,0.99,0.9951,0
Armenia,OK,,2017,0.9968,0.9981,0.9974,0.9985,0
Australia,OK,*1,2010,0.99,0.99,0.99,0.99,0
Austria,OK,*1,2010,0.99,0.99,0.99,0.99,0
Azerbaijan,OK,,2017,0.9972,0.9986,0.9979,0.9994,0
Bahrain,OK,,2018,0.9495,0.9876,0.9746,0.9969,0.09
Bangladesh,OK,,2018,0.7118,0.7667,0.7391,0.933,0.35
Barbados,IGNORAR,,2014,0.996,0.996,0.996,0.999,0
Belarus,OK,,2018,0.9973,0.9979,0.9976,0.9985,0.03
Belgium,OK,*1,2010,0.99,0.99,0.99,0.99,0
Belize,IGNORAR,,1991,0.7033,0.7027,0.703,0.7764,0
Benin,OK,,2018,0.3107,0.5398,0.4236,0.6095,8.46
Bhutan,OK,,2017,0.5708,0.7502,0.6656,0.9309,5.77
Bolivia,OK,,2015,0.8858,0.9652,0.9246,0.994,0.4
Bosnia and Herzegovina,OK,,2013,0.9491,0.9918,0.9699,0.9966,0.2
Botswana,OK,,2014,0.887,0.8674,0.877,0.977,0.24
Brazil,OK,,2018,0.9343,0.9301,0.9323,0.992,0.05
Brunei,IGNORAR,,2018,0.963,0.9805,0.9721,0.9971,0.34
Bulgaria,OK,,2011,0.9798,0.9875,0.9835,0.9787,-0.35
Burkina Faso,OK,,2018,0.3269,0.5007,0.4122,0.5829,8.19
Burundi,OK,,2017,0.6122,0.763,0.6838,0.8822,8.66
Cabo Verde,IGNORAR,,2015,0.8204,0.9169,0.8679,0.9811,-0.02
Cambodia,OK,,2015,0.7503,0.8653,0.8053,0.9221,2.07
Cameroon,OK,,2018,0.7159,0.8263,0.7707,0.8508,4.51
Central African Republic,OK,,2018,0.2576,0.4951,0.374,0.3827,1.91
Chad,OK,,2016,0.1396,0.3133,0.2231,0.3079,-7.98
Chile,OK,,2017,0.9633,0.9648,0.964,0.9901,-0.35
China,OK,,2018,0.9516,0.9847,0.9684,0.9978,0.14
Colombia,OK,,2018,0.9532,0.9485,0.9509,0.9885,0.18
Comoros,OK,,2018,0.5296,0.6464,0.5882,0.7827,6.69
Congo (Brazzaville),OK,,2018,0.7462,0.8608,0.803,0.8205,1.14
Congo (Kinshasa),OK,,2016,0.665,0.8852,0.7704,0.8499,1.39
Costa Rica,OK,,2018,0.9792,0.978,0.9786,0.9943,0.3
Croatia,OK,,2011,0.9867,0.9963,0.9913,0.9972,0.07
Cuba,IGNORAR,,2012,0.998,0.9971,0.9975,0.9987,-0.08
Cyprus,OK,,2011,0.9812,0.9929,0.9868,0.9982,0.05
Czech Republic,OK,*1,2010,0.99,0.99,0.99,0.99,0
Denmark,OK,*1,2010,0.99,0.99,0.99,0.99,0
Djibouti,OK,*1,2010,0.99,0.99,0.703,0.99,0
Dominican Republic,OK,,2016,0.9376,0.9379,0.9378,0.9884,1.23
Ecuador,OK,,2017,0.9209,0.9378,0.9283,0.9926,0.2
Egypt,OK,,2017,0.6551,0.765,0.7117,0.8819,-3.83
El Salvador,OK,,2018,0.8723,0.911,0.8901,0.9797,-0.01
Eritrea,IGNORAR,,2018,0.6895,0.8437,0.7657,0.9327,6.3
Estonia,OK,,2011,0.9991,0.9986,0.9989,0.9995,0.18
Ethiopia,OK,,2017,0.4442,0.5924,0.5177,0.7275,17.77
Finland,OK,*1,2010,0.99,0.99,0.99,0.99,0
Fiyi,IGNORAR,,2017,0.9909,0.9908,0.9908,0.9974,0.49
France,OK,*1,2010,0.99,0.99,0.99,0.99,0
Gabon,OK,,2018,0.8342,0.8585,0.8467,0.8978,1.28
Gambia,IGNORAR,,2015,0.4158,0.6177,0.5078,0.6716,6.38
Georgia,OK,,2017,0.9929,0.9944,0.9936,0.9964,-0.06
Germany,OK,*1,2010,0.99,0.99,0.99,0.99,0
Ghana,OK,,2018,0.7447,0.8352,0.7904,0.9249,6.77
Granada,IGNORAR,,2014,0.986,0.9858,0.986,0.992,0
Greece,OK,,2018,0.9739,0.9851,0.9794,0.9916,0.35
Guatemala,OK,,2014,0.7637,0.8676,0.8129,0.9435,2.5
Guinea,OK,,2014,0.2196,0.4364,0.32,0.463,14.89
Guinea,OK,,2014,0.924,0.9729,0.95,0.982,0.23
Guinea-Bisáu,IGNORAR,,2014,0.3077,0.6216,0.4558,0.604,0.91
Guyana,IGNORAR,,2014,0.8503,0.8631,0.8564,0.9669,3.59
Haiti,OK,,2016,0.583,0.6528,0.6169,0.8299,10.65
Honduras,OK,,2018,0.8727,0.8714,0.8721,0.9652,0.39
Hong Kong,OK,*1,2010,0.946,0.946,0.946,0.946,0
Hungary,OK,,2014,0.991,0.9916,0.991,0.988,-0.57
India,OK,,2018,0.6579,0.8237,0.7437,0.9166,5.52
Indonesia,OK,,2018,0.9399,0.9733,0.9566,0.9971,0.04
Irán,OK,,2016,0.8079,0.9035,0.8554,0.981,0.16
Iraq,OK,,2017,0.799,0.912,0.856,0.935,2.6
Ireland,OK,*1,2010,0.99,0.99,0.99,0.99,0
Islas Marshall,IGNORAR,,2011,0.982,0.9833,0.9827,0.9846,0
Islas Salomón,IGNORAR,,2009,0.69,0.837,0.766,,0
Israel,OK,,1983,0.8867,0.9496,0.9175,0.9856,0
Italy,OK,,2018,0.9897,0.9935,0.9916,0.9993,0.07
Ivory Coast,OK,,2018,0.405,0.5366,0.4717,0.5842,5.4
Jamaica,OK,,2014,0.927,0.8344,0.881,0.963,4.7
Japan,OK,*1,0.99,0.99,0.99,0.99,0.99,0
Jordan,OK,,2018,0.9783,0.9861,0.9823,0.9934,0.24
Kazakhstan,OK,,2018,0.9974,0.9983,0.9978,0.999,0
Kenya,OK,,2018,0.7819,0.8499,0.8153,0.8783,1.3
Kosovo,FALTA,,,,,,,
Kuwait,OK,,2018,0.9491,0.9667,0.9606,0.9908,-0.16
Kyrgyzstan,OK,,2018,0.995,0.9968,0.9959,0.9975,0
Laos,OK,,2015,0.7939,0.8996,0.8466,0.9246,20.41
Latvia,OK,*2,2015,0.999,0.999,0.999,0.999,0
Lebanon,OK,,2018,0.9331,0.9685,0.9507,0.9975,0.51
Lesotho,OK,,2014,0.8493,0.6775,0.7664,0.8663,3.44
Letonia,IGNORAR,,2018,0.9991,0.9987,0.9989,0.9982,-0.02
Liberia,OK,,2017,0.3409,0.627,0.483,0.554,6.32
Libya,OK,,2004,0.778,0.9385,0.861,0.996,1.7
Lithuania,OK,,2011,0.9983,0.9979,0.9982,0.9986,0.15
Macedonia,OK,,2014,0.967,0.9881,0.978,0.986,-0.14
Madagascar,OK,,2018,0.7238,0.7728,0.748,0.812,4.37
Malawi,OK,,2015,0.552,0.6975,0.6214,0.7294,-3.15
Malaysia,OK,,2018,0.935,0.9612,0.9485,0.9685,-0.42
